file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0313_0297_2196467_to_2200704,ཁྱོད་ཡོད་རཱ་འཁྲབ་མ་འཁྲབ་རེད་ལབ་སོང་། ད་ཁྱོད་རང་འཁྲབ་མ་འཁྲབ་ང་ཧ་གོ་གི་མེད་ལབ་སོང་། ད་ང་ལབ་ཡ་མིན་ལབ་སོང་ཡོད་བ།  ,khyod yod rA 'khrab ma 'khrab red lab song /_da khyod rang 'khrab ma 'khrab nga ha go gi med lab song /_da nga lab ya min lab song yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0313_0297_2196467_to_2200704.wav,STT_NS,3,110,4.237,wav16k/STT_NS_M0313_0297_2196467_to_2200704.wav,ཁྱོད་ཡོད་རཱ་ འཁྲབ་མ་འཁྲབ་རེད་ལབ་སོང་། ད་ཁྱོད་རང་འཁྲབ་མ་འཁྲབ།་ང་ཧ་གོ་ཡི་མེད་ལབ་སོང་། ད་ང་ལབ་ཡ་མིན་ལབ་སོང་ཡོད་བ།
STT_NS_M0331_0152_1011988_to_1019803,ཨེ་ནས་ད་དེའི་ནང་ལ་ཨེ་འདྲའི་གཙོ་བོ་ག་རེད་བཞག་ལབ་ན་མི་འདུག་བེ། ཁྱི་གཅིག་འདུག་ད་རཱ། ད་ཁོ་རང་མི་འདུག་བེ་ཨེ་ནས་ཁོ་རང་ཀ་ཅི་བདག་པོ་ལ་ཡ་ཡུད་བརྩེ་བ་དང་ཨེ་འདྲའི་འདུག་མི་འདུག་བེ།  ,e nas da de'i nang la e 'dra'i gtso bo ga red bzhag lab na mi 'dug be/_khyi gcig 'dug da rA/_da kho rang mi 'dug be e nas kho rang ka ci bdag po la ya yud brtse ba dang e 'dra'i 'dug mi 'dug be/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0331_0152_1011988_to_1019803.wav,STT_NS,3,169,7.815,wav16k/STT_NS_M0331_0152_1011988_to_1019803.wav,ཨེ་ནས་ད་དེའི་ནང་ལ་ཨེ་འདྲའི་གཙོ་བོ་ག་རེ་རེད་ཤག་ལབ་ན་མི་འདུག་བེ། ཁྱི་གཅིག་འདུག་ད་རཱ། ད་ཁོ་རང་མི་འདུག་བེ ཨེ་ནས་ཁོ་རང་ཀ་ཅི་བདག་པོ་ལ་ཡ་ཡུད་བརྩེ་བ་དང་ཨེ་འདྲའི་འདུག་མི་འདུག་བེ།
STT_NS_M0315_0229_1520134_to_1523710,ད་ཟ་ཁང་ལ་ཟ་ག་འགྲོ་དགོས་རཱ། ཡིན་ན་ཡང་ད་མཚམས་མཚམས་དངུལ་མེད་དུས་ཙམ་པ་ལ་ཨེ་ནས་ཡང་།  ,da za khang la za ga 'gro dgos rA/_yin na yang da mtshams mtshams dngul med dus tsam pa la e nas yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0315_0229_1520134_to_1523710.wav,STT_NS,3,80,3.576,wav16k/STT_NS_M0315_0229_1520134_to_1523710.wav,ད་ཟ་ཁང་སྒང་ལ་ཟ་གར་འགྲོ་ི་དགོས་རཱ། ཡིན་ན་ཡང་ད་མཚམས་མཚམས་དངུལ་མེད་དུས་ཙམ་པ་ལ་ཨེ་ནས་ཡང་།
STT_NS_M0315_0387_2602459_to_2606919,དཀའ་ངལ་འདྲ་བོ་བྱུང་། ད་ཡི་གེ་སྦྱང་ཐུབ་མ་སོང་ཡོད་བ། ག་བྱས་ནས་ལབ་ན་ཐ་མ་ཡིན་དུས་ཙམ་པ་ལ་སོ་སོ།  ,dka' ngal 'dra bo byung /_da yi ge sbyang thub ma song yod ba/_ga byas nas lab na tha ma yin dus tsam pa la so so/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0315_0387_2602459_to_2606919.wav,STT_NS,3,92,4.46,wav16k/STT_NS_M0315_0387_2602459_to_2606919.wav,དཀའ་ངལ་འདྲ་བོ་བྱུང་། ད་ཡི་གེ་སྦྱང་ཐུབ་མ་སོང་ཡོད་བ། ག་བྱས་ནས་ལབ་ན་ཐ་མག་ཡིན་དུས་ཙམ་པ་ལ་སོ་སོ།
STT_NS_M0310_0455_2893694_to_2896834,ད་འདི་དཔག་བའི་རཱ་སོ་སོ་ལ་རྗེས་མ་ལས་ཀ་རག་ཡ་དང་རཱ།  ,da 'di dpag ba'i rA so so la rjes ma las ka rag ya dang rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0310_0455_2893694_to_2896834.wav,STT_NS,3,50,3.14,wav16k/STT_NS_M0310_0455_2893694_to_2896834.wav,ད་འདི་དཔག་བའི་རཱ་སོ་སོ་ལ་རྗེས་མ་ལས་ཀ་རག་ཡ་དང་རཱ།
STT_NS_M0324_0217_1397221_to_1403421,ཨེ་ནས་ཡང་ཁང་པ་འདི་ལ་འདི་བྱས་ཕར་བྱས་ཨེ་འདྲའི་བྱེད་དགོས་མེད་དུས་ཙམ་པ་ལ། མི་ཁ་ཤས་ལས་ཀ་ཡ་ཡུད་ལས་སླ་བོ་ཡོད་ན་ཡང་སོ་སོ་ལ་ཡོད་བ།  ,e nas yang khang pa 'di la 'di byas phar byas e 'dra'i byed dgos med dus tsam pa la/_mi kha shas las ka ya yud las sla bo yod na yang so so la yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0324_0217_1397221_to_1403421.wav,STT_NS,3,123,6.2,wav16k/STT_NS_M0324_0217_1397221_to_1403421.wav,ཨེ་ནས་ཡང་ཁང་པ་འདི་ལ་འདི་བྱས་ཕར་བྱས་ཨེ་འདྲའི་བྱེད་དགོས་མེད་དུས་ཙམ་པ་ལ་མི་ཁ་ཤས་ལས་ཀ་ཡ་ཡུད་ལས་སླ་བོ་ཡོད་ན་ཡང་སོ་སོ་ལ་ཡོད་བ།
STT_NS_M0320_0284_1945537_to_1955520,ཡང་ད་འདི་ལབ་སོང་བ། ཀཱར་ལི་ལབ་ཡ་བུ་དེ་ད་ཁོ་རང་རྟག་པར་ཁོ་རང་ཀ་ཅི་སྐྱེ་དམན་བཙལ་བསྡད་ཀི་ཡོད་རེད་ལབ་སོང་བ། ཨེ་ནས་ད་ཁོ་ཁོ་ཀ་ཅི་སྐྱེ་དམན་བཙལ་བསྡད་ཡོད་རེད་ད་རཱ། ཨེ་ནས་ད་ཡོད་བ།  ,yang da 'di lab song ba/_kAr li lab ya bu de da kho rang rtag par kho rang ka ci skye dman btsal bsdad ki yod red lab song ba/_e nas da kho kho ka ci skye dman btsal bsdad yod red da rA/_e nas da yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0320_0284_1945537_to_1955520.wav,STT_NS,3,169,9.983,wav16k/STT_NS_M0320_0284_1945537_to_1955520.wav,ཡང་ད་འདི་ལབ་སོང་བ། ཀཱ་ལི་ལབ་ཡ་བུ་དེ་ད་ཁོ་རང་རྟག་པར་ཁོ་རང་ཀ་ཅི་སྐྱེ་དམན་བཙོལ་བསྡད་ཀི་ཡོད་རེད་ལབ་སོང་བ། ཨེ་ནས་ད་ཁོ་ཁོ་ཀ་ཅི་སྐྱེས་དམན་བཙལ་བསྡད་ཡོད་རེད་ད་རཱ། ཨེ་ནས་ད་ཡོད་བ།
STT_TT00668_0490_4617943_to_4626339,སྤྱིར་བཏང་ལས་ཀི་དབང་གིས་བྱུང་རེད་ཟེ། ཡིན་ན་ཡང་མང་པོ་ཅིག་གིས་ཡང་ཚང་མ། ལས་ལ་ལག་པ་ཕྱིས་བཞག་ནས། གང་ཡང་མ་བྱས་པ་བསྡད་ཀི་འདུག་ཟེ། དེ་འདྲའི་མ་རེད་ད་ཟེ།  ,spyir btang las ki dbang gis byung red ze/_yin na yang mang po cig gis yang tshang ma/_las la lag pa phyis bzhag nas/_gang yang ma byas pa bsdad ki 'dug ze/_de 'dra'i ma red da ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00668_0490_4617943_to_4626339.wav,STT_TT,3,145,8.396,wav16k/STT_TT00668_0490_4617943_to_4626339.wav,སྤྱིར་བཏང་ལས་ཀི་དབང་གིས་བྱུང་རེད་ཟེ། ཡིན་ན་ཡང་མང་པོ་ཅིག་གིས་ཡང་ཚང་མ་ ལས་ལ་ལག་པ་ཕྱིས་བཞག་ནས། གང་ཡང་མ་བྱས་པ་བསྡད་ཀི་འདུག་ཟེ། དེ་འདྲའི་མ་རེད་ད་ཟེ།
STT_TT00675_0054_541759_to_544319,ཨ། བདག་ཏུ་གྲུབ་པར་འཛིན་པའི་བདག་འཛིན་གི་གཉེན་པོ་དེ།  ,a/_bdag tu grub par 'dzin pa'i bdag 'dzin gi gnyen po de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00675_0054_541759_to_544319.wav,STT_TT,3,52,2.56,wav16k/STT_TT00675_0054_541759_to_544319.wav,ཨ། བདག་ཏུ་གྲུབ་པར་འཛིན་པའི་བདག་འཛིན་གི་གཉེན་པོ་དེ།
STT_TT00655_0277_2951990_to_2954294,ཁྱོད་ཕྱི་ལོགས་ལ་འགྲོ་དགོས་རེད་ཟེར་ཡ་འདྲ་བོ། དེ་འདྲའི་བཤད་ནས། ཨེ་ནས།  ,khyod phyi logs la 'gro dgos red zer ya 'dra bo/_de 'dra'i bshad nas/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00655_0277_2951990_to_2954294.wav,STT_TT,3,69,2.304,wav16k/STT_TT00655_0277_2951990_to_2954294.wav,ཁྱོད་ཕྱི་ལོགས་ལ་འགྲོ་དགོས་རེད་ཟེར་ཡ་འདྲ་བོ་ དེ་འདྲའི་བཤད་ནས། ཨེ་ནས།
